"project","article","access","agent","granularity","date","en_views","id_views"
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-02,1027,1051
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-03,998,1087
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-04,924,987
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-05,958,997
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-06,844,946
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-07,715,790
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-08,929,945
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-09,1027,979
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-10,1146,1024
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-11,1247,979
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-12,1623,1037
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-13,1345,969
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-14,1513,827
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-15,2071,1007
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-16,2262,1021
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-17,2161,1030
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-18,2053,1105
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-19,1819,1095
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-20,1660,965
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-21,1691,884
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-22,1995,1022
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-23,2098,969
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-24,1606,1017
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-25,1351,1021
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-26,1286,1100
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-27,1148,883
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-28,1040,833
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-29,1053,963
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-30,1266,872
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-01,1220,974
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-02,1010,966
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-03,1021,1041
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-04,1065,957
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-05,904,914
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-06,903,939
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-07,992,1043
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-08,1105,1109
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-09,1144,1422
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-10,1043,1023
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-11,871,901
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-12,846,794
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-13,814,849
